,moyenne,minimum,maximum,count,somme
"(45.1754098781564, 5.73833356791869)",2034.6042038647822,3,5686,31243.0,63567586
"(45.1752281848123, 5.73924102395489)",2081.7430127600787,3,5778,31243.0,65040352
"(45.1751712383432, 5.73799018121695)",2018.6546891474597,5,5672,31243.0,63069276
"(45.1749539500596, 5.73898971635325)",2069.4201959688944,6,5774,31243.0,64655352
"(45.174878161991, 5.73937003257044)",2090.166951391758,3,5813,31243.0,65303546
"(45.1749765855376, 5.73858520903036)",2048.4757211129777,2,5737,31243.0,64000981
"(45.1753705320939, 5.73821251577202)",2028.7823661097216,7,5678,31243.0,63385694
"(45.1748912692517, 5.73952229083997)",2098.470164617677,4,5825,31243.0,65562964
"(45.1747938646813, 5.73895768517076)",2068.501214502589,4,5782,31243.0,64626642
"(45.1753765532118, 5.7388511971314)",2060.7584176979312,4,5733,31243.0,64384726
"(45.1753305419944, 5.73907380780698)",2072.5182679392924,6,5756,31243.0,64752141
"(45.1747143995637, 5.73942093461473)",2093.820276339768,5,5828,31243.0,65417689
"(45.1651294764099, 5.70524140613886)",3094.0520835593375,3,6873,31243.0,96667586
"(45.166344423034, 5.70548403189495)",3026.6060698527667,7,6786,31243.0,94560359
"(45.1648666778173, 5.70529437844866)",3100.90111256445,5,6882,31243.0,96881574
"(45.1658011507476, 5.70499841567886)",3086.8387072783466,9,6862,31243.0,96442207
"(45.1640632739242, 5.70480267137846)",3176.7698822069856,6,6973,31243.0,99251944
"(45.1635514082782, 5.70530040780145)",3160.580861097576,8,6952,31243.0,98746163
"(45.1650615150655, 5.70487317056186)",3127.0512682017597,6,6913,31243.0,97698575
"(45.1633827140318, 5.70652330233381)",3074.0536552926155,4,6844,31243.0,96042812
"(45.1635698726292, 5.70514639329878)",3172.070004668911,8,6966,31243.0,99105116
"(45.1664102268889, 5.70548545907794)",3024.077240678493,7,6783,31243.0,94481350
"(45.164436642273, 5.70543920075412)",3108.1336485498105,4,6891,31243.0,97107547
"(45.1642168613089, 5.70497778872235)",3155.3874701012373,6,6948,31243.0,98583894
"(45.1641271310865, 5.70493250154657)",3163.189077779958,9,6957,31243.0,98827640
"(45.1638420984431, 5.70569108595332)",3115.605818981551,4,6899,31243.0,97341010
"(45.1639470751606, 5.70497134599876)",3168.3470154287393,12,6963,31243.0,98988792
"(45.163806927583, 5.70570435093905)",3116.236982235221,4,6899,31243.0,97360730
"(45.1638900215907, 5.70508196885299)",3162.02018503312,7,6955,31243.0,98791125
"(45.1668052447427, 5.70528360184461)",3026.376780870361,9,6783,31243.0,94553187
"(45.1640286666783, 5.70485235391213)",3174.288588161237,6,6970,31243.0,99174422
"(45.1637714494494, 5.70592348742859)",3100.805672418199,11,6880,31243.0,96878613
"(45.1639261436931, 5.70531138386453)",3141.8152493689304,4,6931,31243.0,98159865
"(45.1631882213924, 5.70548680632633)",3163.660539968158,5,6955,31243.0,98842388
"(45.1665445733143, 5.70519252468003)",3043.0681732709236,5,6805,31243.0,95074678
"(45.1664037608934, 5.7049897446347)",3064.860707062982,7,6832,31243.0,95755541
"(45.1666402363024, 5.7055743430386)",3008.5730810255286,5,6762,31243.0,93996952
"(45.1661599414245, 5.70507861936523)",3066.5384538791163,7,6836,31243.0,95807963
"(45.1649776182005, 5.70502140581553)",3118.395534684762,6,6903,31243.0,97428147
"(45.1632619797338, 5.70487513351001)",3209.1221176730833,4,7009,31243.0,100262735
"(45.1658741264916, 5.70487623552977)",3094.105953980583,7,6870,31243.0,96669255
"(45.1652499946508, 5.70503914950983)",3105.5614246978257,19,6887,31243.0,97027168
"(45.1640282494299, 5.70567282270154)",3108.271512333551,8,6890,31243.0,97111862
"(45.1636172751728, 5.70526794149695)",3159.9995207960824,8,6952,31243.0,98727999
"(45.1631422627747, 5.7058914973176)",3134.316269043842,3,6918,31243.0,97925591
"(45.1659835203952, 5.70488307333762)",3089.3508796482824,11,6864,31243.0,96520691
"(45.1652394520627, 5.70480051675893)",3125.6729466166234,8,6911,31243.0,97655509
"(45.1631854166109, 5.70553845435964)",3159.7216183987307,5,6950,31243.0,98719325
"(45.1666444226915, 5.70566611027716)",3001.0316402169533,3,6753,31243.0,93761336
"(45.1666125569673, 5.70565293709946)",3003.2296940271412,3,6756,31243.0,93830010
"(45.1667455654171, 5.70537294691538)",3021.174465117146,7,6777,31243.0,94390653
"(45.1656757391529, 5.70506955974022)",3085.9024168660994,5,6862,31243.0,96412957
"(45.1652202597607, 5.70522823950621)",3091.3473251681085,10,6870,31243.0,96583080
"(45.1643551072819, 5.70475663827368)",3167.2986383316384,9,6962,31243.0,98956030
"(45.1638990488546, 5.70486660927359)",3179.1520242654938,9,6975,31243.0,99326372
"(45.1638845561285, 5.70552881823903)",3126.4236575318682,8,6912,31243.0,97678989
"(45.1631607202602, 5.70584123096095)",3137.2796176757342,3,6922,31243.0,98018174
"(45.164912187569, 5.70500024521821)",3122.9095554095916,5,6908,31243.0,97569179
"(45.1648041543896, 5.7052250661948)",3109.2100873237578,8,6892,31243.0,97141171
"(45.1642661552529, 5.70501386305631)",3150.2040706530333,6,6941,31243.0,98421949
"(45.1639626925386, 5.70527136582741)",3143.3198093179585,5,6933,31243.0,98206871
"(45.1631314296287, 5.70559454239571)",3158.0268907375516,6,6947,31243.0,98666378
"(45.1664613751434, 5.70495896296207)",3065.312555745979,4,6832,31243.0,95769657
"(45.1658158204883, 5.70483937239124)",3099.417826421996,7,6877,31243.0,96835214
"(45.165182521091, 5.70485217510735)",3123.7431898194277,8,6909,31243.0,97595219
"(45.1631992579296, 5.70565043981261)",3150.219605735208,5,6938,31243.0,98422455
"(45.1639686623605, 5.70532020832581)",3139.118303943132,4,6928,31243.0,98075604
"(45.1632751921961, 5.70506552805837)",3193.0180815685526,18,6990,31243.0,99759599
"(45.1636838779961, 5.70472178192067)",3201.194354696867,11,7001,31243.0,100015041
"(45.1633206938827, 5.70466920570279)",3223.076841402855,9,7026,31243.0,100698719
"(45.1630963831535, 5.70589422458186)",3136.4317016792024,5,6921,31243.0,97991684
"(45.1660590145238, 5.70567345303055)",3022.0584207668944,11,6782,31243.0,94418283
"(45.163316934618, 5.70666396600732)",3066.8502636995436,9,6834,31243.0,95817759
"(45.163731781523, 5.70562252220036)",3126.2796263647265,8,6911,31243.0,97674492
"(45.1643928792506, 5.70545779876005)",3108.615844966002,5,6891,31243.0,97122613
"(45.1641474614807, 5.70558629031933)",3109.575788382743,13,6892,31243.0,97152609
"(45.1631191250658, 5.70570300206025)",3150.1470897538943,5,6938,31243.0,98420191
"(45.1647379968528, 5.70533256696739)",3103.383236398204,4,6885,31243.0,96959125
"(45.1637400730399, 5.70539544085771)",3143.8995172199798,12,6933,31243.0,98224987
"(45.1649545863066, 5.7052753811681)",3098.678799367526,9,6879,31243.0,96812141
"(45.1633391954955, 5.70651480107342)",3076.878564088549,3,6847,31243.0,96131071
"(45.1641325613742, 5.70503108305469)",3154.8959460933315,7,6947,31243.0,98568539
"(45.1637926600967, 5.70549613401054)",3133.3743493110437,10,6920,31243.0,97896150
"(45.1667267712133, 5.7055213038113)",3009.792162747192,11,6763,31243.0,94035038
"(45.1657185561827, 5.70499685779082)",3090.1951721875034,9,6867,31243.0,96547074
"(45.1657061405107, 5.70483100260713)",3104.3870293292835,1,6883,31243.0,96990468
"(45.1646346377442, 5.70483025594739)",3148.864593498313,16,6940,31243.0,98380093
"(45.1651170172607, 5.70491722650215)",3121.1000156214373,5,6906,31243.0,97512640
"(45.1653681396344, 5.70490360853889)",3111.883203444886,8,6894,31243.0,97224676
"(45.1633065242958, 5.70477726220719)",3214.9153139431724,4,7016,31243.0,100443730
"(45.164478874888, 5.70542369642456)",3107.484277314583,4,6890,31243.0,97087258
"(45.1639322284892, 5.70547162352218)",3128.7222302918894,7,6915,31243.0,97750802
"(45.1635831538125, 5.70539516484275)",3151.47530299326,11,6942,31243.0,98461679
"(45.163258494383, 5.70588889095796)",3128.661988906029,11,6912,31243.0,97748933
"(45.1665935761635, 5.70533194710803)",3029.9092141814617,14,6789,31243.0,94663554
"(45.1667249634044, 5.70530696170273)",3027.283407416444,7,6784,31243.0,94581514
"(45.1654716649869, 5.70504159972345)",3096.3336162865094,8,6875,31243.0,96738861
"(45.1650099941596, 5.70507262968776)",3112.8341491504093,6,6896,31243.0,97254393
"(45.1634217299526, 5.70471869717112)",3214.0729844953435,4,7016,31243.0,100417411
"(45.166168788099, 5.70515997547245)",3059.5268979373973,9,6827,31243.0,95588902
"(45.1655926893199, 5.70497642663852)",3096.851183847535,13,6875,31243.0,96755029
"(45.1641960579087, 5.70475540167403)",3174.5857817196975,8,6970,31243.0,99183704
"(45.1631487602824, 5.70543609383938)",3169.660388007611,5,6962,31243.0,99029841
"(45.1637318024086, 5.70520977467165)",3159.182028188757,7,6951,31243.0,98702456
"(45.1645415831779, 5.70495228383494)",3142.9164844490933,14,6933,31243.0,98194259
"(45.1645860270774, 5.7050778620775)",3130.6936733793664,12,6918,31243.0,97812383
"(45.1644770887304, 5.70510007256718)",3133.705851055827,12,6922,31243.0,97906494
"(45.1638328014989, 5.70511748153874)",3161.837163508439,6,6955,31243.0,98785408
"(45.1632735763813, 5.7048394038646)",3211.464357979597,4,7012,31243.0,100335913
"(45.1661721920109, 5.70496683861568)",3075.3001831342663,10,6846,31243.0,96081704
"(45.1632613144639, 5.70523895887884)",3179.7473812393105,5,6974,31243.0,99344985
"(45.163576052256, 5.70471987235296)",3206.5101305551057,7,7007,31243.0,100181123
"(45.1634540203421, 5.70470134459528)",3213.927595509491,4,7016,31243.0,100412868
"(45.1632698272209, 5.70538376991679)",3167.761852563845,8,6960,31243.0,98970523
"(45.1631422903284, 5.70552455323387)",3162.9865961213927,5,6953,31243.0,98821333
"(45.1631255870016, 5.70565666551543)",3153.4424105963167,5,6942,31243.0,98523146
"(45.1637434190958, 5.70527989214239)",3152.9866935383047,7,6944,31243.0,98508896
"(45.1636208159651, 5.70508375341046)",3174.6726492391667,8,6970,31243.0,99186429
"(45.1648304396236, 5.70515573687481)",3113.7092809302576,7,6897,31243.0,97281738
"(45.1637343751323, 5.70502666490342)",3173.870263780378,4,6969,31243.0,99161358
"(45.1637776519543, 5.70568165432211)",3119.4217597539123,4,6903,31243.0,97460232
"(45.1638754198503, 5.70543384131769)",3134.4065730951024,7,6922,31243.0,97928398
"(45.1670241166968, 5.70495536800791)",3045.869148712502,7,6804,31243.0,95162180
"(45.1657209315019, 5.70483644081735)",3103.36085067724,1,6882,31243.0,96958407
"(45.1649200558709, 5.70504914739494)",3118.5682753427623,5,6903,31243.0,97433545
"(45.1654157494781, 5.704817767534)",3117.051361908869,10,6900,31243.0,97386143
"(45.1661902288809, 5.70583914482187)",3003.8525919898652,12,6759,31243.0,93849479
"(45.1638222217499, 5.70530869347976)",3146.934312822809,9,6937,31243.0,98319801
"(45.1631674993063, 5.70578796255748)",3141.0720770012535,3,6927,31243.0,98136661
"(45.1669238296353, 5.70495745830365)",3049.1214551458743,6,6809,31243.0,95263793
"(45.164267292259, 5.70551570459469)",3109.6889110893103,13,6893,31243.0,97156141
"(45.1638376121366, 5.70584381468919)",3103.851276402054,6,6884,31243.0,96973765
"(45.1639972975282, 5.70535445108028)",3135.0310470787404,4,6923,31243.0,97947906
"(45.1638298922789, 5.70504068544775)",3168.2015341742112,8,6962,31243.0,98984249
"(45.1633072741417, 5.70579813183905)",3133.2754632370875,11,6918,31243.0,97893070
"(45.1631723472654, 5.70522128525148)",3185.6016281763827,4,6981,31243.0,99527890
"(45.16328644326, 5.70474338553517)",3218.6783719871314,4,7021,31243.0,100561299
"(45.1664983956432, 5.7049617412092)",3063.7454012340427,4,6830,31243.0,95720694
"(45.165805478552, 5.70513071979822)",3075.800591908784,10,6849,31243.0,96097345
"(45.1662267607336, 5.70504404247328)",3066.8928462377094,8,6836,31243.0,95819034
"(45.1634247397522, 5.70530237121658)",3166.60501231604,11,6959,31243.0,98934377
"(45.1662127008409, 5.70525593710617)",3050.036745972701,11,6816,31243.0,95292402
"(45.1644234460396, 5.70527296023985)",3122.093295606448,11,6908,31243.0,97543686
"(45.1663582037351, 5.70530356232897)",3040.763119721359,10,6803,31243.0,95002665
"(45.1643043409654, 5.70494529911881)",3154.0808553607512,7,6946,31243.0,98543070
"(45.1640758618117, 5.70507349966819)",3154.057735055721,7,6946,31243.0,98542352
"(45.1637044407966, 5.70488218441047)",3187.0632549048046,14,6985,31243.0,99573545
"(45.1663109860073, 5.70500576263387)",3066.9371616135813,10,6835,31243.0,95820417
"(45.1650730598107, 5.70494376797549)",3120.750564966607,5,6905,31243.0,97501723
"(45.1631846828897, 5.7056993939673)",3147.1218611772274,5,6934,31243.0,98325673
"(45.1665944179326, 5.7051784783862)",3042.4362168600965,5,6804,31243.0,95054933
"(45.1661009798503, 5.70505267714798)",3070.890457637728,7,6841,31243.0,95943933
"(45.16336172015, 5.70476068023161)",3213.5601578937735,6,7015,31243.0,100401390
"(45.1632774568449, 5.70557119667851)",3152.542716307768,10,6941,31243.0,98495034
"(45.1647808039198, 5.70531899235086)",3102.618382634298,4,6884,31243.0,96935228
"(45.1643240892218, 5.70488216026161)",3158.3605373294954,7,6951,31243.0,98676779
"(45.1640609006444, 5.7049930783821)",3161.291161996272,8,6954,31243.0,98768345
"(45.1639134618055, 5.7057710667539)",3105.9402830549116,5,6887,31243.0,97039030
"(45.1631630312593, 5.70531696538583)",3178.415877751811,10,6972,31243.0,99303387
"(45.1631386324668, 5.7059264442244)",3131.8001367893885,3,6915,31243.0,97846980
"(45.1665236205455, 5.70512931995107)",3049.0139731382283,7,6812,31243.0,95260442
"(45.165696336632, 5.70644320951568)",2975.7022408486923,2,6726,31243.0,92969992
"(45.1650612688304, 5.7048036786188)",3132.8085895007007,6,6920,31243.0,97878450
"(45.1630692945075, 5.70611275013587)",3121.0177436168524,5,6901,31243.0,97510109
"(45.1645007626975, 5.70476885855716)",3159.809456312972,9,6953,31243.0,98722044
"(45.163357017789, 5.70551395107872)",3153.1089764897297,10,6943,31243.0,98512724
"(45.1650997999271, 5.70524685565035)",3094.8547456182255,3,6874,31243.0,96692664
"(45.1637638225262, 5.70499943291396)",3174.6832041886905,4,6970,31243.0,99186756
"(45.1648858167613, 5.70519506592681)",3108.1317133572447,7,6891,31243.0,97107478
"(45.1639217246941, 5.70523386383963)",3148.259125949156,6,6939,31243.0,98361190
"(45.1654209819896, 5.70498507751474)",3103.0197925162697,8,6883,31243.0,96947757
"(45.1638732679852, 5.70478976292205)",3186.66192267052,9,6984,31243.0,99561003
"(45.1642437184519, 5.70489927731749)",3160.59063222746,8,6954,31243.0,98746455
"(45.1669673018144, 5.70491831332889)",3050.8777535042314,6,6811,31243.0,95318664
"(45.1631836861818, 5.70581665473429)",3138.0277398890685,3,6923,31243.0,98041547
"(45.1666575396741, 5.705617097008)",3004.512222675113,5,6757,31243.0,93870079
"(45.166455046668, 5.70528637992399)",3038.625629893158,10,6800,31243.0,94935882
"(45.1657247585047, 5.70508339384637)",3082.837006697793,5,6858,31243.0,96317184
"(45.1642680807202, 5.70476603973187)",3170.439498127249,8,6965,31243.0,99054161
"(45.1633569172013, 5.70537749288129)",3163.9437831727905,9,6956,31243.0,98851234
"(45.1645647300524, 5.70524299836167)",3118.219915486872,15,6903,31243.0,97422668
"(45.1633560426979, 5.70674145730339)",3059.1164499205684,9,6825,31243.0,95576132
"(45.1637456221511, 5.7057332239664)",3116.9048739176355,6,6900,31243.0,97381598
"(45.1638754839092, 5.70580476460924)",3105.0964497936307,5,6886,31243.0,97012667
"(45.163775890398, 5.70512055344933)",3164.283642031529,6,6958,31243.0,98861844
"(45.1655560884176, 5.70515784246616)",3083.425166966886,15,6859,31243.0,96335563
"(45.165016259035, 5.70483428817231)",3132.1632945093356,6,6919,31243.0,97858290
"(45.1631970705474, 5.7054143989227)",3168.9563209737103,5,6961,31243.0,99007843
"(45.1644118363371, 5.70492720549739)",3150.7307435833354,10,6942,31243.0,98438401
"(45.1632169998488, 5.70522281731234)",3183.2469719453584,4,6978,31243.0,99454323
"(45.1660876159045, 5.7048890954737)",3084.905665129219,11,6858,31243.0,96381808
"(45.1653036249184, 5.70485610058462)",3118.43708477578,8,6902,31243.0,97429439
"(45.1633611947883, 5.70648869473879)",3077.731125779126,3,6849,31243.0,96157707
"(45.1646938697813, 5.70534974388828)",3103.925286318354,5,6886,31243.0,96976061
"(45.1642009972131, 5.7050622821978)",3149.2224934650826,8,6940,31243.0,98391283
"(45.1634471645712, 5.70561698771419)",3140.535810421495,15,6928,31243.0,98119901
"(45.1635075756839, 5.7047398413508)",3208.169956572097,7,7009,31243.0,100232982
"(45.1801437193557, 5.71269058760543)",2351.3614318438845,6,6099,31243.0,73463566
"(45.1800734920266, 5.70891689498464)",2611.5698284471123,8,6465,31243.0,81593207
"(45.1800613272293, 5.70816356349605)",2668.6156310852434,8,6539,31243.0,83375480
"(45.1802129448836, 5.71450138208943)",2243.6643647998567,8,5929,31243.0,70098813
"(45.1800539101836, 5.70763070206256)",2709.946912424071,8,6591,31243.0,84666787
"(45.1802247463458, 5.71476489131691)",2228.995861138224,8,5904,31243.0,69640529
"(45.1800689228074, 5.70864760666745)",2631.771513905684,8,6491,31243.0,82224365
"(45.1802429878409, 5.71544944127972)",2191.808075153544,13,5840,31243.0,68478682
"(45.1801560328446, 5.71291858926636)",2337.2225506919485,6,6078,31243.0,73021828
"(45.1800490311702, 5.70735459705646)",2731.659108064032,7,6618,31243.0,85345138
"(45.1801796542561, 5.71369468030426)",2290.1565431531176,4,6004,31243.0,71551356
"(45.1801593981259, 5.71311668541254)",2324.9551342946456,4,6059,31243.0,72638560
